"","values","value2"
"5242",1.6,1.6
"5243",NA,NA
"5244",1.7,1.7
"5245",NA,NA
"5246",1.3,1.3
"5247",NA,NA
"5248",1.4,1.4
"5249",NA,NA
"5250",1.5,1.5
"5251",NA,NA
"5252",1.4,1.4
"5253",NA,NA
"5254",1.8,1.8
"5255",NA,NA
"5256",1.8,1.8
"5257",NA,NA
"5258",1.8,1.8
"5259",NA,NA
"5260",3.1,3.1
"5261",NA,NA
"5262",2.2,2.2
"5263",NA,NA
"5264",NA,NA
"5265",NA,NA
"5266",1.6,1.6
"5267",NA,NA
"5268",NA,NA
"5269",NA,NA
"5270",1.9,1.9
"5271",NA,NA
"5272",3.1,3.1
"5273",NA,NA
"5274",NA,NA
"5275",NA,NA
"5276",1.9,1.9
"5277",NA,NA
"5278",1.5,1.5
"5279",NA,NA
"5280",2.3,2.3
"5281",NA,NA
"5282",1.1,1.1
"5283",NA,NA
"5284",1.5,1.5
"5285",NA,NA
"5286",1.6,1.6
"5287",NA,NA
"5288",1.4,1.4
"5289",NA,NA
"5290",1.4,1.4
"5291",NA,NA
"5292",2.4,2.4
"5293",NA,NA
"5294",1.8,1.8
"5295",NA,NA
"5296",1.4,1.4
"5297",NA,NA
"5298",2.4,2.4
"5299",NA,NA
"5300",2,2
"5301",NA,NA
"5302",3.6,3.6
"5303",NA,NA
"5304",NA,NA
"5305",NA,NA
"5306",2.8,2.8
"5307",NA,NA
"5308",2.5,2.5
"5309",NA,NA
"5310",1.8,1.8
"5311",NA,NA
"5312",2.1,2.1
"5313",NA,NA
"5314",2,2
"5315",NA,NA
"5316",1.4,1.4
"5317",NA,NA
"5318",1.4,1.4
"5319",NA,NA
"5320",1.4,1.4
"5321",NA,NA
"5322",1.6,1.6
"5323",NA,NA
"5324",1.9,1.9
"5325",NA,NA
"5326",1.9,1.9
"5327",NA,NA
"5328",2,2
"5329",NA,NA
"5330",1.6,1.6
"5331",NA,NA
"5332",4,4
"5333",NA,NA
"5334",1.5,1.5
"5335",NA,NA
"5336",2.9,2.9
"5337",NA,NA
"5338",1,1
"5339",NA,NA
"5340",1.3,1.3
"5341",NA,NA
"5342",1,1
"5343",NA,NA
"5344",1,1
"5345",NA,NA
"5346",1.7,1.7
"5347",NA,NA
"5348",1.8,1.8
"5349",NA,NA
"5350",1.6,1.6
"5351",NA,NA
"5352",1.2,1.2
"5353",NA,NA
"5354",1.1,1.1
"5355",NA,NA
"5356",1.3,1.3
"5357",NA,NA
"5358",1.7,1.7
"5359",NA,NA
"5360",1.7,1.7
"5361",NA,NA
"5362",1.7,1.7
"5363",NA,NA
"5364",1.8,1.8
"5365",NA,NA
"5366",1.3,1.3
"5367",NA,NA
"5368",2,2
"5369",NA,NA
"5370",3.1,3.1
"5371",NA,NA
"5372",1.7,1.7
"5373",NA,NA
"5374",2.5,2.5
"5375",NA,NA
"5376",2.1,2.1
"5377",NA,NA
"5378",1.6,1.6
"5379",NA,NA
"5380",1.5,1.5
"5381",NA,NA
"5382",2.4,2.4
"5383",NA,NA
"5384",2,2
"5385",NA,NA
"5386",1.6,1.6
"5387",NA,NA
"5388",1.1,1.1
"5389",NA,NA
"5390",1,1
"5391",NA,NA
"5392",1.5,1.5
"5393",NA,NA
"5394",1.8,1.8
"5395",NA,NA
"5396",1.4,1.4
"5397",NA,NA
"5398",1.8,1.8
"5399",NA,NA
"5400",1.7,1.7
"5401",NA,NA
"5402",1.7,1.7
"5403",NA,NA
"5404",1.9,1.9
"5405",NA,NA
"5406",2,2
"5407",NA,NA
"5408",3.1,3.1
"5409",NA,NA
"5410",NA,NA
"5411",NA,NA
"5412",1.8,1.8
"5413",NA,NA
"5414",2.3,2.3
"5415",NA,NA
"5416",2.5,2.5
"5417",NA,NA
"5418",2.6,2.6
"5419",NA,NA
"5420",1.9,1.9
"5421",NA,NA
"5422",1.4,1.4
"5423",NA,NA
"5424",1.2,1.2
"5425",NA,NA
"5426",1.4,1.4
"5427",NA,NA
"5428",0.8,0.8
"5429",NA,NA
"5430",1.7,1.7
"5431",NA,NA
"5432",1.4,1.4
"5433",NA,NA
"5434",1.5,1.5
"5435",NA,NA
"5436",1.3,1.3
"5437",NA,NA
"5438",2,2
"5439",NA,NA
"5440",NA,NA
"5441",NA,NA
"5442",2.1,2.1
"5443",NA,NA
"5444",1.8,1.8
"5445",NA,NA
"5446",1.6,1.6
"5447",NA,NA
"5448",2.5,2.5
"5449",NA,NA
"5450",1.1,1.1
"5451",NA,NA
"5452",1.5,1.5
"5453",NA,NA
"5454",1.5,1.5
"5455",NA,NA
"5456",1.3,1.3
"5457",NA,NA
"5458",1,1
"5459",NA,NA
"5460",1.1,1.1
"5461",NA,NA
"5462",1.3,1.3
"5463",NA,NA
"5464",1.2,1.2
"5465",NA,NA
"5466",1.1,1.1
"5467",NA,NA
"5468",1.6,1.6
"5469",NA,NA
"5470",NA,NA
"5471",NA,NA
"5472",NA,NA
"5473",NA,NA
"5474",1.1,1.1
"5475",NA,NA
"5476",1.6,1.6
"5477",NA,NA
"5478",0.6,0.6
"5479",NA,NA
"5480",1.1,1.1
"5481",NA,NA
"5482",1.3,1.3
"5483",NA,NA
"5484",1.5,1.5
"5485",NA,NA
"5486",1.6,1.6
"5487",NA,NA
"5488",1.5,1.5
"5489",NA,NA
"5490",1,1
"5491",NA,NA
"5492",1.7,1.7
"5493",NA,NA
"5494",1.2,1.2
"5495",NA,NA
"5496",1.6,1.6
"5497",NA,NA
"5498",3.1,3.1
"5499",NA,NA
"5500",2.6,2.6
"5501",NA,NA
"5502",1,1
"5503",NA,NA
"5504",1.2,1.2
"5505",NA,NA
"5506",0.9,0.9
"5507",NA,NA
"5508",1,1
"5509",NA,NA
"5510",1.5,1.5
"5511",NA,NA
"5512",1.1,1.1
"5513",NA,NA
"5514",1.5,1.5
"5515",NA,NA
"5516",1.4,1.4
"5517",NA,NA
"5518",1.3,1.3
"5519",NA,NA
"5520",1.9,1.9
"5521",NA,NA
"5522",1.2,1.2
"5523",NA,NA
"5524",1.9,1.9
"5525",NA,NA
"5526",1.6,1.6
"5527",NA,NA
"5528",1.5,1.5
"5529",NA,NA
"5530",2.2,2.2
"5531",NA,NA
"5532",1.5,1.5
"5533",NA,NA
"5534",1.3,1.3
"5535",NA,NA
"5536",1.2,1.2
"5537",NA,NA
"5538",1.2,1.2
"5539",NA,NA
"5540",1.1,1.1
"5541",NA,NA
"5542",1.3,1.3
"5543",NA,NA
"5544",1,1
"5545",NA,NA
"5546",1,1
"5547",NA,NA
"5548",1.2,1.2
"5549",NA,NA
"5550",1.5,1.5
"5551",NA,NA
"5552",1.9,1.9
"5553",NA,NA
"5554",2.7,2.7
"5555",NA,NA
"5556",2.1,2.1
"5557",NA,NA
"5558",2.3,2.3
"5559",NA,NA
"5560",1,1
"5561",NA,NA
"5562",1,1
"5563",NA,NA
"5564",1,1
"5565",NA,NA
"5566",1.3,1.3
"5567",NA,NA
"5568",1.1,1.1
"5569",NA,NA
"5570",1.3,1.3
"5571",NA,NA
"5572",1.3,1.3
"5573",NA,NA
"5574",1,1
"5575",NA,NA
"5576",1.9,1.9
"5577",NA,NA
"5578",2.8,2.8
"5579",NA,NA
"5580",3,3
"5581",NA,NA
"5582",2.2,2.2
"5583",NA,NA
"5584",2.5,2.5
"5585",NA,NA
"5586",2,2
"5587",NA,NA
"5588",2.5,2.5
"5589",NA,NA
"5590",1.4,1.4
"5591",NA,NA
"5592",1.4,1.4
"5593",NA,NA
"5594",1,1
"5595",NA,NA
"5596",1.5,1.5
"5597",NA,NA
"5598",1.5,1.5
"5599",NA,NA
"5600",1.3,1.3
"5601",NA,NA
"5602",1.1,1.1
"5603",NA,NA
"5604",2,2
"5605",NA,NA
"5606",3,3
"5607",NA,NA
"5608",3.2,3.2
"5609",NA,NA
"5610",NA,NA
"5611",NA,NA
"5612",3,3
"5613",NA,NA
"5614",2.6,2.6
"5615",NA,NA
"5616",1.8,1.8
"5617",NA,NA
"5618",2.1,2.1
"5619",NA,NA
"5620",1.6,1.6
"5621",NA,NA
"5622",1.6,1.6
"5623",NA,NA
"5624",1.4,1.4
"5625",NA,NA
"5626",1.7,1.7
"5627",NA,NA
"5628",1.5,1.5
"5629",NA,NA
"5630",1.7,1.7
"5631",NA,NA
"5632",2.2,2.2
"5633",NA,NA
"5634",2.1,2.1
"5635",NA,NA
"5636",1.5,1.5
"5637",NA,NA
"5638",1.5,1.5
"5639",NA,NA
"5640",0.8,0.8
"5641",NA,NA
"5642",1.2,1.2
"5643",NA,NA
"5644",0.9,0.9
"5645",NA,NA
"5646",0.7,0.7
"5647",NA,NA
"5648",1,1
"5649",NA,NA
"5650",0.9,0.9
"5651",NA,NA
"5652",1.3,1.3
"5653",NA,NA
"5654",1.9,1.9
"5655",NA,NA
"5656",1.4,1.4
"5657",NA,NA
"5658",0.6,0.6
"5659",NA,NA
"5660",1.1,1.1
"5661",NA,NA
"5662",2,2
"5663",NA,NA
"5664",1.9,1.9
"5665",NA,NA
"5666",1.4,1.4
"5667",NA,NA
"5668",1.4,1.4
"5669",NA,NA
"5670",1,1
"5671",NA,NA
"5672",0.7,0.7
"5673",NA,NA
"5674",1.1,1.1
"5675",NA,NA
"5676",0.8,0.8
"5677",NA,NA
"5678",1.1,1.1
"5679",NA,NA
"5680",1.5,1.5
"5681",NA,NA
"5682",1.2,1.2
"5683",NA,NA
"5684",1.7,1.7
"5685",NA,NA
"5686",2,2
"5687",NA,NA
"5688",2.2,2.2
"5689",NA,NA
"5690",1.9,1.9
"5691",NA,NA
"5692",NA,NA
"5693",NA,NA
"5694",1.4,1.4
"5695",NA,NA
"5696",1.4,1.4
"5697",NA,NA
"5698",0.8,0.8
"5699",NA,NA
"5700",1.5,1.5
"5701",NA,NA
"5702",1.3,1.3
"5703",NA,NA
"5704",1,1
"5705",NA,NA
"5706",1.4,1.4
"5707",NA,NA
"5708",1.1,1.1
"5709",NA,NA
"5710",1.2,1.2
"5711",NA,NA
"5712",1.3,1.3
"5713",NA,NA
"5714",1.4,1.4
"5715",NA,NA
"5716",0.9,0.9
"5717",NA,NA
"5718",1.6,1.6
"5719",NA,NA
"5720",1.5,1.5
"5721",NA,NA
"5722",1.3,1.3
"5723",NA,NA
"5724",1.7,1.7
"5725",NA,NA
"5726",1.1,1.1
"5727",NA,NA
"5728",1.1,1.1
"5729",NA,NA
"5730",1,1
"5731",NA,NA
"5732",0.7,0.7
"5733",NA,NA
"5734",1.1,1.1
"5735",NA,NA
"5736",0.7,0.7
"5737",NA,NA
"5738",1,1
"5739",NA,NA
"5740",0.9,0.9
"5741",NA,NA
"5742",1.6,1.6
"5743",NA,NA
"5744",1.7,1.7
"5745",NA,NA
"5746",1.8,1.8
"5747",NA,NA
"5748",1.8,1.8
"5749",NA,NA
"5750",1.1,1.1
"5751",NA,NA
"5752",1,1
"5753",NA,NA
"5754",1.2,1.2
"5755",NA,NA
"5756",1.2,1.2
"5757",NA,NA
"5758",0.8,0.8
"5759",NA,NA
"5760",1.1,1.1
"5761",NA,NA
"5762",1,1
"5763",NA,NA
"5764",1,1
"5765",NA,NA
"5766",1.2,1.2
"5767",NA,NA
"5768",1.4,1.4
"5769",NA,NA
"5770",1.3,1.3
"5771",NA,NA
"5772",1.1,1.1
"5773",NA,NA
"5774",1.3,1.3
"5775",NA,NA
"5776",2.8,2.8
"5777",NA,NA
"5778",0.9,0.9
"5779",NA,NA
"5780",0.8,0.8
"5781",NA,NA
"5782",0.8,0.8
"5783",NA,NA
"5784",1.3,1.3
"5785",NA,NA
"5786",1,1
"5787",NA,NA
"5788",1.3,1.3
"5789",NA,NA
"5790",1,1
"5791",NA,NA
"5792",1.1,1.1
"5793",NA,NA
"5794",1,1
"5795",NA,NA
"5796",1.4,1.4
"5797",NA,NA
"5798",1.8,1.8
"5799",NA,NA
"5800",1.2,1.2
"5801",NA,NA
"5802",1.2,1.2
"5803",NA,NA
"5804",2.1,2.1
"5805",NA,NA
"5806",1.2,1.2
"5807",NA,NA
"5808",2.9,2.9
"5809",NA,NA
"5810",2.2,2.2
"5811",NA,NA
"5812",1.8,1.8
"5813",NA,NA
"5814",1.5,1.5
"5815",NA,NA
"5816",1.3,1.3
"5817",NA,NA
"5818",1.8,1.8
"5819",NA,NA
"5820",1.4,1.4
"5821",NA,NA
"5822",1.4,1.4
"5823",NA,NA
"5824",1.3,1.3
"5825",NA,NA
"5826",2.1,2.1
"5827",NA,NA
"5828",1.3,1.3
"5829",NA,NA
"5830",1.3,1.3
"5831",NA,NA
"5832",1.5,1.5
"5833",NA,NA
"5834",1.2,1.2
"5835",NA,NA
"5836",1,1
"5837",NA,NA
"5838",1.1,1.1
"5839",NA,NA
"5840",1.1,1.1
"5841",NA,NA
"5842",1.2,1.2
"5843",NA,NA
"5844",1.7,1.7
"5845",NA,NA
"5846",1.6,1.6
"5847",NA,NA
"5848",1.8,1.8
"5849",NA,NA
"5850",1,1
"5851",NA,NA
"5852",1.8,1.8
"5853",NA,NA
"5854",1.9,1.9
"5855",NA,NA
"5856",1.8,1.8
"5857",NA,NA
"5858",1.3,1.3
"5859",NA,NA
"5860",1.1,1.1
"5861",NA,NA
"5862",0.9,0.9
"5863",NA,NA
"5864",1.4,1.4
"5865",NA,NA
"5866",1.6,1.6
"5867",NA,NA
"5868",1.1,1.1
"5869",NA,NA
"5870",1.2,1.2
"5871",NA,NA
"5872",1.3,1.3
"5873",NA,NA
"5874",1.9,1.9
"5875",NA,NA
"5876",1.4,1.4
"5877",NA,NA
"5878",1.8,1.8
"5879",NA,NA
"5880",1.7,1.7
"5881",NA,NA
"5882",1.3,1.3
"5883",NA,NA
"5884",1.4,1.4
"5885",NA,NA
"5886",NA,NA
"5887",NA,NA
"5888",1.4,1.4
"5889",NA,NA
"5890",1.1,1.1
"5891",NA,NA
"5892",1.3,1.3
"5893",NA,NA
"5894",1.5,1.5
"5895",NA,NA
"5896",1.3,1.3
"5897",NA,NA
"5898",1.4,1.4
"5899",NA,NA
"5900",1.2,1.2
"5901",NA,NA
"5902",1.3,1.3
"5903",NA,NA
"5904",1.1,1.1
"5905",NA,NA
"5906",1.9,1.9
"5907",NA,NA
