"","values","value2"
"612",9.3,9.3
"613",5.65,5.65
"614",12,12
"615",15.2,15.2
"616",16,16
"617",5.8,5.8
"618",6,6
"619",8.75,8.75
"620",6.5,6.5
"621",22.3,22.3
"622",6.2,6.2
"623",26.4,26.4
"624",4.6,4.6
"625",10.6,10.6
"626",4.8,4.8
"627",10.35,10.35
"628",5.6,5.6
"629",16,16
"630",4,4
"631",15,15
"632",8,8
"633",12.95,12.95
"634",4,4
"635",8,8
"636",5.7,5.7
"637",6,6
"638",5.7,5.7
"639",10.7,10.7
"640",10.5,10.5
"641",12.1,12.1
"642",8,8
"643",19.5,19.5
"644",13.5,13.5
"645",14.15,14.15
"646",16.5,16.5
"647",5.9,5.9
"648",7.6,7.6
"649",6.9,6.9
"650",9.2,9.2
"651",10.25,10.25
"652",8,8
"653",7.5,7.5
"654",4.3,4.3
"655",16.5,16.5
"656",5.6,5.6
"657",5.2,5.2
"658",7,7
"659",33.2,33.2
"660",7.3,7.3
"661",117.25,117.25
"662",4,4
"663",10.2,10.2
"664",5.2,5.2
"665",33.5,33.5
"666",8.5,8.5
"667",18.8,18.8
"668",5.6,5.6
"669",17.05,17.05
"670",6,6
"671",10.7,10.7
"672",8.8,8.8
"673",20.9,20.9
"674",12,12
"675",8.1,8.1
"676",9.2,9.2
"677",6.2,6.2
"678",9.6,9.6
"679",6.65,6.65
"680",8.5,8.5
"681",3.05,3.05
"682",5.4,5.4
"683",10.2,10.2
"684",6.3,6.3
"685",22.4,22.4
"686",5.6,5.6
"687",12.45,12.45
"688",4.5,4.5
"689",99.25,99.25
"690",8,8
"691",15,15
"692",7.2,7.2
"693",68.85,68.85
"694",NA,NA
"695",12.05,12.05
"696",7,7
"697",45.2,45.2
"698",13.6,13.6
"699",30.2,30.2
"700",5.8,5.8
"701",44.7,44.7
"702",8,8
"703",10.4,10.4
"704",5.6,5.6
"705",11.85,11.85
"706",9.6,9.6
"707",6.85,6.85
"708",5.6,5.6
"709",16.1,16.1
"710",6.4,6.4
"711",18.1,18.1
"712",6.4,6.4
"713",6.75,6.75
"714",17,17
"715",7,7
"716",8.5,8.5
"717",10.2,10.2
"718",26,26
"719",12.1,12.1
"720",8.8,8.8
"721",12.85,12.85
"722",8,8
"723",23.85,23.85
"724",4.4,4.4
"725",48.25,48.25
"726",8.8,8.8
"727",53.35,53.35
"728",9.2,9.2
"729",19.9,19.9
"730",6.2,6.2
"731",65.5,65.5
"732",37,37
"733",34.7,34.7
"734",22.7,22.7
"735",58.3,58.3
"736",8.2,8.2
"737",8.4,8.4
"738",4.8,4.8
"739",5.2,5.2
"740",5.8,5.8
"741",6.75,6.75
"742",5.7,5.7
"743",11.8,11.8
"744",6.4,6.4
"745",18.45,18.45
"746",4.8,4.8
"747",3.1,3.1
"748",4.8,4.8
"749",5.7,5.7
"750",4,4
"751",9.3,9.3
"752",8.4,8.4
"753",41.15,41.15
"754",8.7,8.7
"755",40.55,40.55
"756",6.8,6.8
"757",16,16
"758",7.5,7.5
"759",36.85,36.85
"760",7.6,7.6
"761",16,16
"762",14.5,14.5
"763",18.6,18.6
"764",7.6,7.6
"765",42.65,42.65
"766",12.8,12.8
"767",48,48
"768",8,8
"769",7.8,7.8
"770",5.7,5.7
"771",8.65,8.65
"772",4.5,4.5
"773",4.8,4.8
"774",4,4
"775",43.3,43.3
"776",7.2,7.2
"777",16,16
"778",15,15
"779",12.15,12.15
"780",11.6,11.6
"781",4.9,4.9
"782",6,6
"783",13.05,13.05
"784",13.2,13.2
"785",17.2,17.2
"786",9.2,9.2
"787",26.85,26.85
"788",8,8
"789",47.15,47.15
"790",5.8,5.8
"791",17.35,17.35
"792",5.7,5.7
"793",7.25,7.25
"794",7.4,7.4
"795",25.6,25.6
"796",4,4
"797",49.1,49.1
"798",4.4,4.4
"799",12.3,12.3
"800",11.6,11.6
"801",32.25,32.25
"802",13.5,13.5
"803",25,25
"804",9.6,9.6
"805",6.45,6.45
"806",11.6,11.6
"807",31,31
"808",8,8
"809",8.25,8.25
"810",12,12
"811",18.55,18.55
"812",8.8,8.8
"813",5.6,5.6
"814",6.8,6.8
"815",13.6,13.6
"816",13.6,13.6
"817",4.2,4.2
"818",6,6
"819",10.55,10.55
"820",5,5
"821",9,9
"822",5.8,5.8
"823",13.05,13.05
"824",11.2,11.2
"825",8.15,8.15
"826",5.4,5.4
"827",22.1,22.1
"828",6,6
"829",16.7,16.7
"830",7.6,7.6
"831",17.55,17.55
"832",25.5,25.5
"833",33.5,33.5
"834",11.6,11.6
"835",11.1,11.1
"836",7.2,7.2
"837",12.8,12.8
"838",24.7,24.7
"839",5.45,5.45
"840",11.1,11.1
"841",5.1,5.1
"842",7.2,7.2
"843",6.65,6.65
"844",9.2,9.2
"845",27.7,27.7
"846",12.4,12.4
"847",4.4,4.4
"848",7.6,7.6
"849",13.3,13.3
"850",5.2,5.2
"851",35.85,35.85
"852",8.8,8.8
"853",7.5,7.5
"854",6.8,6.8
"855",14.6,14.6
"856",16.8,16.8
"857",14.95,14.95
"858",6.4,6.4
"859",12.9,12.9
"860",5.2,5.2
"861",14.9,14.9
"862",5.5,5.5
"863",88.5,88.5
"864",4.7,4.7
"865",7.45,7.45
"866",6.5,6.5
"867",7.05,7.05
"868",9,9
"869",26,26
"870",8,8
"871",6.15,6.15
"872",11.2,11.2
"873",10.4,10.4
"874",11.2,11.2
"875",6.15,6.15
"876",8,8
"877",5.8,5.8
"878",8.4,8.4
"879",4.3,4.3
"880",5.4,5.4
"881",8,8
"882",12,12
"883",5.2,5.2
"884",7.6,7.6
"885",39,39
"886",10,10
"887",9.3,9.3
"888",4.4,4.4
"889",9.8,9.8
"890",5.7,5.7
"891",13.45,13.45
"892",3.2,3.2
"893",25,25
"894",7.1,7.1
"895",22.35,22.35
"896",10.4,10.4
"897",11.1,11.1
"898",4.4,4.4
"899",9.5,9.5
"900",5.7,5.7
"901",15.3,15.3
"902",6.3,6.3
"903",3.4,3.4
"904",5.7,5.7
"905",18,18
"906",6.8,6.8
"907",19.8,19.8
"908",10.4,10.4
"909",3.6,3.6
"910",5.2,5.2
"911",4.3,4.3
"912",11.5,11.5
"913",19.8,19.8
"914",6.8,6.8
"915",27,27
"916",6.3,6.3
"917",16.6,16.6
"918",6.3,6.3
"919",5.2,5.2
"920",8,8
"921",22.8,22.8
"922",8.4,8.4
"923",44.35,44.35
"924",10,10
"925",110.85,110.85
"926",48.3,48.3
"927",13,13
"928",9.6,9.6
"929",15,15
"930",15.2,15.2
"931",13.8,13.8
"932",8.4,8.4
"933",15.4,15.4
"934",10,10
"935",15.4,15.4
"936",11.6,11.6
"937",24.75,24.75
"938",7.5,7.5
"939",7,7
"940",8,8
"941",4.6,4.6
"942",15,15
"943",6,6
"944",11.2,11.2
"945",4,4
"946",10.8,10.8
"947",22.4,22.4
"948",4.4,4.4
"949",20.25,20.25
"950",9.6,9.6
"951",33,33
"952",7.5,7.5
"953",7.4,7.4
"954",12.4,12.4
"955",9.2,9.2
"956",7.6,7.6
"957",8.1,8.1
"958",6.9,6.9
"959",20.2,20.2
"960",4.6,4.6
"961",14.4,14.4
"962",6.8,6.8
"963",4.2,4.2
"964",NA,NA
"965",14,14
"966",9.6,9.6
"967",3,3
"968",8.4,8.4
"969",19.4,19.4
"970",6,6
"971",8.6,8.6
"972",4.4,4.4
"973",25.4,25.4
"974",4.3,4.3
"975",26.4,26.4
"976",7.7,7.7
"977",100.35,100.35
"978",6.4,6.4
"979",19.35,19.35
"980",8.5,8.5
"981",23.6,23.6
"982",11.2,11.2
"983",17.5,17.5
"984",4.4,4.4
"985",8.4,8.4
"986",6.4,6.4
"987",13,13
"988",16,16
"989",11,11
"990",8,8
"991",57,57
"992",10,10
"993",4.85,4.85
"994",8.8,8.8
"995",6.35,6.35
"996",6.4,6.4
"997",14.8,14.8
"998",8.4,8.4
"999",10.4,10.4
"1000",5.2,5.2
"1001",16.4,16.4
"1002",9.6,9.6
"1003",19.4,19.4
"1004",6.8,6.8
"1005",22.4,22.4
"1006",3.4,3.4
"1007",25.4,25.4
"1008",4.8,4.8
"1009",23.2,23.2
"1010",7.6,7.6
"1011",14,14
"1012",7.6,7.6
"1013",5.7,5.7
"1014",8.3,8.3
"1015",8,8
"1016",12.8,12.8
"1017",NA,NA
"1018",13.95,13.95
"1019",10.8,10.8
"1020",7.65,7.65
"1021",10,10
"1022",10.4,10.4
"1023",10.8,10.8
"1024",14,14
"1025",8,8
"1026",32,32
"1027",8,8
"1028",17.4,17.4
"1029",6.4,6.4
"1030",8.1,8.1
"1031",4,4
"1032",21.4,21.4
"1033",7.2,7.2
"1034",34.5,34.5
"1035",5.4,5.4
"1036",14.35,14.35
"1037",3.6,3.6
"1038",22.5,22.5
"1039",4.5,4.5
"1040",5.75,5.75
"1041",9.2,9.2
"1042",6.7,6.7
"1043",4.8,4.8
"1044",56.65,56.65
"1045",12,12
"1046",5.7,5.7
"1047",8.8,8.8
"1048",7.85,7.85
"1049",10.4,10.4
"1050",2.35,2.35
"1051",6.4,6.4
"1052",6.75,6.75
"1053",3.8,3.8
"1054",2.8,2.8
"1055",6,6
"1056",5.6,5.6
"1057",6,6
"1058",24,24
"1059",6,6
"1060",64,64
"1061",6,6
"1062",28,28
"1063",0,4
"1064",64,64
"1065",4,4
"1066",0,4
"1067",4,4
"1068",0,4
"1069",0,4
"1070",0,4
"1071",0,4
"1072",7.6,7.6
"1073",7.2,7.2
"1074",9.9,9.9
"1075",10.1,10.1
"1076",6.4,6.4
"1077",6.9,6.9
"1078",16.6,16.6
"1079",9.6,9.6
"1080",3,3
"1081",5.7,5.7
"1082",10.1,10.1
"1083",9.6,9.6
"1084",4.4,4.4
"1085",5.1,5.1
"1086",3.2,3.2
"1087",3,3
"1088",17.3,17.3
"1089",7.4,7.4
"1090",22.8,22.8
"1091",19.8,19.8
"1092",10.2,10.2
"1093",4.3,4.3
"1094",21.9,21.9
"1095",5.4,5.4
"1096",34.7,34.7
"1097",2.1,2.1
"1098",15.8,15.8
"1099",5.4,5.4
"1100",22.5,22.5
"1101",4.2,4.2
"1102",5.1,5.1
"1103",6.5,6.5
"1104",8.6,8.6
"1105",5.8,5.8
"1106",85.8,85.8
"1107",4.6,4.6
"1108",14.6,14.6
"1109",4.6,4.6
"1110",13.3,13.3
"1111",0,4
"1112",0,4
"1113",14.4,14.4
"1114",5.2,5.2
"1115",6,6
"1116",6.2,6.2
"1117",0,4
"1118",6.4,6.4
"1119",0,4
"1120",4.6,4.6
"1121",6.5,6.5
"1122",6.2,6.2
"1123",5.6,5.6
"1124",5.9,5.9
"1125",15.4,15.4
"1126",4.7,4.7
"1127",5,5
"1128",0,4
"1129",8.5,8.5
"1130",0,4
"1131",15.2,15.2
"1132",0,4
"1133",12.8,12.8
"1134",0,4
"1135",9.9,9.9
"1136",4.2,4.2
"1137",24.6,24.6
"1138",5.3,5.3
"1139",67.6,67.6
"1140",6.8,6.8
"1141",11.3,11.3
"1142",4,4
"1143",13.2,13.2
"1144",4,4
"1145",11.8,11.8
"1146",5.6,5.6
"1147",11.6,11.6
"1148",5,5
"1149",15.3,15.3
"1150",6.5,6.5
"1151",4.4,4.4
"1152",4.2,4.2
"1153",4,4
"1154",9.3,9.3
"1155",6.7,6.7
"1156",5.2,5.2
"1157",10.4,10.4
"1158",5.4,5.4
"1159",0,4
"1160",0,4
"1161",2.5,2.5
"1162",3,3
"1163",2.6,2.6
"1164",6.7,6.7
"1165",4.2,4.2
"1166",5.2,5.2
"1167",3.8,3.8
"1168",6.2,6.2
"1169",19,19
"1170",5.3,5.3
"1171",12.4,12.4
"1172",3.8,3.8
"1173",6.8,6.8
"1174",3.9,3.9
"1175",7.1,7.1
"1176",4.9,4.9
"1177",11.5,11.5
"1178",3.6,3.6
"1179",31.2,31.2
"1180",5.6,5.6
"1181",59.5,59.5
"1182",4,4
"1183",13.7,13.7
"1184",3.2,3.2
"1185",12.8,12.8
"1186",12.3,12.3
"1187",35.2,35.2
"1188",7,7
"1189",10,10
"1190",5.6,5.6
"1191",7,7
"1192",3.4,3.4
"1193",12.4,12.4
"1194",4.2,4.2
"1195",4.5,4.5
"1196",4.7,4.7
"1197",6.6,6.6
"1198",4.4,4.4
"1199",3.2,3.2
"1200",5.9,5.9
"1201",22.6,22.6
"1202",5.2,5.2
"1203",6.8,6.8
"1204",9.4,9.4
"1205",4.4,4.4
"1206",3.9,3.9
"1207",15.9,15.9
"1208",11.8,11.8
"1209",NA,NA
"1210",NA,NA
"1211",10.5,10.5
"1212",5.4,5.4
"1213",19.8,19.8
"1214",7.7,7.7
"1215",92.2,92.2
"1216",2.9,2.9
"1217",18.8,18.8
"1218",2.5,2.5
"1219",24.9,24.9
"1220",2.9,2.9
"1221",26.9,26.9
"1222",3.6,3.6
"1223",39.5,39.5
"1224",4.1,4.1
"1225",14.9,14.9
"1226",4.6,4.6
"1227",9.7,9.7
"1228",4.3,4.3
"1229",30.3,30.3
"1230",2.8,2.8
"1231",6.7,6.7
"1232",2.9,2.9
"1233",10.1,10.1
"1234",4.3,4.3
"1235",2.9,2.9
"1236",5.8,5.8
"1237",4.6,4.6
"1238",8.3,8.3
"1239",4.2,4.2
"1240",8.5,8.5
"1241",3.8,3.8
"1242",12.1,12.1
"1243",6.5,6.5
"1244",5.7,5.7
"1245",16.8,16.8
"1246",7.7,7.7
"1247",4.5,4.5
"1248",7,7
"1249",27.2,27.2
"1250",8.2,8.2
"1251",10.2,10.2
"1252",3.9,3.9
"1253",38.8,38.8
"1254",2.6,2.6
"1255",31.3,31.3
"1256",5.6,5.6
"1257",15.8,15.8
"1258",2.6,2.6
"1259",17.3,17.3
"1260",3.6,3.6
"1261",18.1,18.1
"1262",4.9,4.9
"1263",11.9,11.9
"1264",5.1,5.1
"1265",10.2,10.2
"1266",4.3,4.3
"1267",10.2,10.2
"1268",6.2,6.2
"1269",13.4,13.4
"1270",12.1,12.1
"1271",6.4,6.4
"1272",4,4
"1273",3.5,3.5
"1274",3.6,3.6
"1275",6.4,6.4
"1276",4.7,4.7
"1277",6.1,6.1
"1278",6.4,6.4
"1279",3.3,3.3
"1280",7.8,7.8
"1281",3.4,3.4
"1282",6.6,6.6
"1283",6.6,6.6
"1284",12,12
"1285",4.8,4.8
"1286",5.1,5.1
"1287",6.6,6.6
"1288",5.5,5.5
"1289",4,4
"1290",4.2,4.2
"1291",2.2,2.2
"1292",4.6,4.6
"1293",6.7,6.7
"1294",5.4,5.4
"1295",3.3,3.3
"1296",4,4
"1297",6.2,6.2
"1298",4.9,4.9
"1299",11.9,11.9
"1300",6,6
"1301",13.9,13.9
"1302",3.8,3.8
"1303",6.1,6.1
"1304",4.7,4.7
"1305",10.5,10.5
"1306",6.7,6.7
"1307",75.2,75.2
"1308",4.6,4.6
"1309",58.6,58.6
"1310",2.6,2.6
"1311",16.3,16.3
"1312",6.5,6.5
"1313",14.3,14.3
"1314",3.1,3.1
"1315",6.3,6.3
"1316",3.1,3.1
"1317",12.7,12.7
"1318",2.8,2.8
"1319",9,9
"1320",3.9,3.9
"1321",20.3,20.3
"1322",4.4,4.4
"1323",9.2,9.2
