"","values","value2"
"933",0.455,0.455
"934",0.013,0.013
"935",0.387,0.387
"936",0.02,0.02
"937",0.3035,0.3035
"938",0.029,0.029
"939",0.1175,0.1175
"940",0.074,0.074
"941",0.0115,0.0115
"942",0.049,0.049
"943",0.011,0.011
"944",0.034,0.034
"945",0.0415,0.0415
"946",0.012,0.012
"947",0.1485,0.1485
"948",0.015,0.015
"949",0.1165,0.1165
"950",0.049,0.049
"951",0.105,0.105
"952",0.037,0.037
"953",0.0835,0.0835
"954",0.028,0.028
"955",0.061,0.061
"956",0.012,0.012
"957",0.1865,0.1865
"958",0.009,0.009
"959",0.227,0.227
"960",0.026,0.026
"961",0.2715,0.2715
"962",0.083,0.083
"963",0.3,0.3
"964",0.087,0.087
"965",0.2475,0.2475
"966",0.008,0.008
"967",0.1525,0.1525
"968",0.007,0.007
"969",0.0535,0.0535
"970",0.007,0.007
"971",0.0505,0.0505
"972",0.01,0.01
"973",0.008,0.008
"974",0.014,0.014
"975",0.099,0.099
"976",0.058,0.058
"977",0.084,0.084
"978",0.008,0.008
"979",0.0575,0.0575
"980",0.004,0.004
"981",0.041,0.041
"982",0.028,0.028
"983",0.081,0.081
"984",0.01,0.01
"985",0.199,0.199
"986",0.025,0.025
"987",0.152,0.152
"988",0.009,0.009
"989",0.2895,0.2895
"990",0.08,0.08
"991",0.2795,0.2795
"992",0.013,0.013
"993",0.351,0.351
"994",0.008,0.008
"995",0.299,0.299
"996",0.007,0.007
"997",0.094,0.094
"998",0.006,0.006
"999",0.0265,0.0265
"1000",0.048,0.048
"1001",0.0475,0.0475
"1002",0.027,0.027
"1003",0.057,0.057
"1004",0.015,0.015
"1005",0.025,0.025
"1006",0.004,0.004
"1007",0.021,0.021
"1008",0.004,0.004
"1009",0.226,0.226
"1010",0.219,0.219
"1011",0.193,0.193
"1012",0.026,0.026
"1013",0.274,0.274
"1014",0.01,0.01
"1015",0.411,0.411
"1016",0.045,0.045
"1017",NA,NA
"1018",0.181,0.181
"1019",0.004,0.004
"1020",0.2465,0.2465
"1021",0.007,0.007
"1022",0.053,0.053
"1023",0.007,0.007
"1024",0.027,0.027
"1025",0.01,0.01
"1026",0.1065,0.1065
"1027",0.035,0.035
"1028",0.05,0.05
"1029",0.016,0.016
"1030",0.067,0.067
"1031",0.049,0.049
"1032",0.025,0.025
"1033",0.01,0.01
