"","values","value2"
"765",3.5,3.5
"766",9.6,9.6
"767",2.4,2.4
"768",8.8,8.8
"769",1.3,1.3
"770",9.2,9.2
"771",1.2,1.2
"772",8.4,8.4
"773",0.1,0.1
"774",8.2,8.2
"775",0.2,0.2
"776",8.6,8.6
"777",0.5,0.5
"778",7.1,7.1
"779",0.2,0.2
"780",10.6,10.6
"781",0.1,0.1
"782",7.8,7.8
"783",0.2,0.2
"784",9.4,9.4
"785",0.5,0.5
"786",11.8,11.8
"787",2.8,2.8
"788",8.7,8.7
"789",7.5,7.5
"790",9.9,9.9
"791",6.9,6.9
"792",11.6,11.6
"793",3.5,3.5
"794",11.7,11.7
"795",9.8,9.8
"796",13.8,13.8
"797",8.8,8.8
"798",14.1,14.1
"799",6.43,6.43
"800",12.52,12.52
"801",6.01,6.01
"802",12.83,12.83
"803",1.9,1.9
"804",13.4,13.4
"805",0.47,0.47
"806",12.03,12.03
"807",0.43,0.43
"808",8.6,8.6
"809",0.26,0.26
"810",11.17,11.17
"811",0.2,0.2
"812",7.53,7.53
"813",0.36,0.36
"814",9,9
"815",0.47,0.47
"816",9.17,9.17
"817",0.19,0.19
"818",5.32,5.32
"819",NA,NA
"820",NA,NA
"821",1.08,1.08
"822",8.43,8.43
"823",6.9,6.9
"824",8.9,8.9
"825",9.1,9.1
"826",13,13
"827",7.4,7.4
"828",12.5,12.5
"829",7.8,7.8
"830",12.5,12.5
"831",7.2,7.2
"832",11,11
"833",4.5,4.5
"834",8.9,8.9
"835",2.6,2.6
"836",9,9
"837",1,1
"838",16.1,16.1
"839",0.6,0.6
"840",10.3,10.3
"841",0.8,0.8
"842",9.1,9.1
"843",0.2,0.2
"844",9.2,9.2
"845",0.2,0.2
"846",8.4,8.4
"847",0.3,0.3
"848",7.8,7.8
"849",0.3,0.3
"850",8.2,8.2
"851",0.2,0.2
"852",6,6
"853",0.2,0.2
"854",8,8
"855",2.7,2.7
"856",9.2,9.2
"857",7.4,7.4
"858",9.7,9.7
"859",10.6,10.6
