,station,date,layer,secchi,chla,do,tn,tp,po4f,pp,tdp,no23f,nh4f,tdn,pn,tss
5299,CB3.3C,1989-10-24,B,,,,,,,,,,,,,
5300,CB3.3C,1989-10-24,S,,,,,,,,,,,,,
5301,CB3.3C,1989-11-14,B,,,,,,,,,,,,,
5302,CB3.3C,1989-11-14,S,,,,,,,,,,,,,
5303,CB3.3C,1989-12-12,B,,,,,,,,,,,,,
5304,CB3.3C,1989-12-12,S,,,,,,,,,,,,,
5305,CB3.3C,1990-01-09,B,,,,,,,,,,,,,
5306,CB3.3C,1990-01-09,S,,,,,,,,,,,,,
5307,CB3.3C,1990-02-07,B,,,,,,,,,,,,,
5308,CB3.3C,1990-02-07,S,,,,,,,,,,,,,
5309,CB3.3C,1990-03-06,B,,,,,,,,,,,,,
5310,CB3.3C,1990-03-06,S,,,,,,,,,,,,,
5311,CB3.3C,1990-03-21,B,,,,,,,,,,,,,
5312,CB3.3C,1990-03-21,S,,,,,,,,,,,,,
5313,CB3.3C,1990-04-03,B,,,,,,,,,,,,,
5314,CB3.3C,1990-04-03,S,,,,,,,,,,,,,
5315,CB3.3C,1990-04-17,B,,,,,,,,,,,,,
5316,CB3.3C,1990-04-17,S,,,,,,,,,,,,,
5317,CB3.3C,1990-05-15,B,,,,,,,,,,,,,
5318,CB3.3C,1990-05-15,S,,,,,,,,,,,,,
5319,CB3.3C,1990-05-30,B,,,,,,,,,,,,,
5320,CB3.3C,1990-05-30,S,,,,,,,,,,,,,
5321,CB3.3C,1990-06-12,B,,,,,,,,,,,,,
5322,CB3.3C,1990-06-12,S,,,,,,,,,,,,,
5323,CB3.3C,1990-06-26,B,,,,,,,,,,,,,
5324,CB3.3C,1990-06-26,S,,,,,,,,,,,,,
5325,CB3.3C,1990-07-17,B,,,,,,,,,,,,,
5326,CB3.3C,1990-07-17,S,,,,,,,,,,,,,
5327,CB3.3C,1990-07-31,B,,,,,,,,,,,,,
5328,CB3.3C,1990-07-31,S,,,,,,,,,,,,,
5329,CB3.3C,1990-08-14,B,,,,,,,,,,,,,
5330,CB3.3C,1990-08-14,S,,,,,,,,,,,,,
5331,CB3.3C,1990-08-28,B,,,,,,,,,,,,,
5332,CB3.3C,1990-08-28,S,,,,,,,,,,,,,
5333,CB3.3C,1990-09-11,B,,,,,,,,,,,,,
5334,CB3.3C,1990-09-11,S,,,,,,,,,,,,,
5335,CB3.3C,1990-09-25,B,,,,,,,,,,,,,
5336,CB3.3C,1990-09-25,S,,,,,,,,,,,,,
5337,CB3.3C,1990-10-16,B,,,,,,,,,,,,,
5338,CB3.3C,1990-10-16,S,,,,,,,,,,,,,
5339,CB3.3C,1990-10-30,B,,,,,,,,,,,,,
5340,CB3.3C,1990-10-30,S,,,,,,,,,,,,,
5341,CB3.3C,1990-11-13,B,,,,,,,,,,,,,
5342,CB3.3C,1990-11-13,S,,,,,,,,,,,,,
5343,CB3.3C,1990-12-11,B,,,,,,,,,,,,,
5344,CB3.3C,1990-12-11,S,,,,,,,,,,,,,
5345,CB3.3C,1991-01-08,B,,,,,,,,,,,,,
5346,CB3.3C,1991-01-08,S,,,,,,,,,,,,,
5347,CB3.3C,1991-02-12,B,,,,,,,,,,,,,
5348,CB3.3C,1991-02-12,S,,,,,,,,,,,,,
5349,CB3.3C,1991-03-13,B,,,,,,,,,,,,,
5350,CB3.3C,1991-03-13,S,,,,,,,,,,,,,
5351,CB3.3C,1991-03-26,B,,,,,,,,,,,,,
5352,CB3.3C,1991-03-26,S,,,,,,,,,,,,,
5353,CB3.3C,1991-04-09,B,,,,,,,,,,,,,
5354,CB3.3C,1991-04-09,S,,,,,,,,,,,,,
5355,CB3.3C,1991-04-23,B,,,,,,,,,,,,,
5356,CB3.3C,1991-04-23,S,,,,,,,,,,,,,
5357,CB3.3C,1991-05-07,B,,,,,,,,,,,,,
5358,CB3.3C,1991-05-07,S,,,,,,,,,,,,,
5359,CB3.3C,1991-05-21,B,,,,,,,,,,,,,
5360,CB3.3C,1991-05-21,S,,,,,,,,,,,,,
5361,CB3.3C,1991-06-06,B,,,,,,,,,,,,,
5362,CB3.3C,1991-06-06,S,,,,,,,,,,,,,
5363,CB3.3C,1991-06-18,B,,,,,,,,,,,,,
5364,CB3.3C,1991-06-18,S,,,,,,,,,,,,,
5365,CB3.3C,1991-07-09,B,,,,,,,,,,,,,
5366,CB3.3C,1991-07-09,S,,,,,,,,,,,,,
5367,CB3.3C,1991-07-23,B,,,,,,,,,,,,,
5368,CB3.3C,1991-07-23,S,,,,,,,,,,,,,
5369,CB3.3C,1991-08-06,B,,,,,,,,,,,,,
5370,CB3.3C,1991-08-06,S,,,,,,,,,,,,,
5371,CB3.3C,1991-08-21,B,,,,,,,,,,,,,
5372,CB3.3C,1991-08-21,S,,,,,,,,,,,,,
5373,CB3.3C,1991-09-04,B,,,,,,,,,,,,,
5374,CB3.3C,1991-09-04,S,,,,,,,,,,,,,
5375,CB3.3C,1991-09-17,B,,,,,,,,,,,,,
5376,CB3.3C,1991-09-17,S,,,,,,,,,,,,,
5377,CB3.3C,1991-10-02,B,,,,,,,,,,,,,
5378,CB3.3C,1991-10-02,S,,,,,,,,,,,,,
5379,CB3.3C,1991-10-15,B,,,,,,,,,,,,,
5380,CB3.3C,1991-10-15,S,,,,,,,,,,,,,
5381,CB3.3C,1991-11-05,B,,,,,,,,,,,,,
5382,CB3.3C,1991-11-05,S,,,,,,,,,,,,,
5383,CB3.3C,1991-12-03,B,,,,,,,,,,,,,
5384,CB3.3C,1991-12-03,S,,,,,,,,,,,,,
5385,CB3.3C,1992-01-07,B,,,,,,,,,,,,,
5386,CB3.3C,1992-01-07,S,,,,,,,,,,,,,
5387,CB3.3C,1992-02-11,B,,,,,,,,,,,,,
5388,CB3.3C,1992-02-11,S,,,,,,,,,,,,,
5389,CB3.3C,1992-03-12,B,,,,,,,,,,,,,
5390,CB3.3C,1992-03-12,S,,,,,,,,,,,,,
5391,CB3.3C,1992-03-31,B,,,,,,,,,,,,,
5392,CB3.3C,1992-03-31,S,,,,,,,,,,,,,
5393,CB3.3C,1992-04-15,B,,,,,,,,,,,,,
5394,CB3.3C,1992-04-15,S,,,,,,,,,,,,,
5395,CB3.3C,1992-04-28,B,,,,,,,,,,,,,
5396,CB3.3C,1992-04-28,S,,,,,,,,,,,,,
5397,CB3.3C,1992-05-12,B,,,,,,,,,,,,,
5398,CB3.3C,1992-05-12,S,,,,,,,,,,,,,
5399,CB3.3C,1992-05-27,B,,,,,,,,,,,,,
5400,CB3.3C,1992-05-27,S,,,,,,,,,,,,,
5401,CB3.3C,1992-06-09,B,,,,,,,,,,,,,
5402,CB3.3C,1992-06-09,S,,,,,,,,,,,,,
5403,CB3.3C,1992-06-23,B,,,,,,,,,,,,,
5404,CB3.3C,1992-06-23,S,,,,,,,,,,,,,
5405,CB3.3C,1992-07-07,B,,,,,,,,,,,,,
5406,CB3.3C,1992-07-07,S,,,,,,,,,,,,,
5407,CB3.3C,1992-07-21,B,,,,,,,,,,,,,
5408,CB3.3C,1992-07-21,S,,,,,,,,,,,,,
