"","values","value2"
"1187",0.39,0.39
"1188",0.73,0.73
"1189",0.53,0.53
"1190",0.63,0.63
"1191",0.46,0.46
"1192",0.67,0.67
"1193",0.5,0.5
"1194",0.54,0.54
"1195",0.54,0.54
"1196",0.29,0.29
"1197",0.4,0.4
"1198",0.38,0.38
"1199",0.45,0.45
"1200",0.43,0.43
"1201",0.4,0.4
"1202",0.28,0.28
"1203",0.51,0.51
"1204",0.32,0.32
"1205",0.45,0.45
"1206",0.36,0.36
"1207",0.43,0.43
"1208",0.33,0.33
"1209",0.51,0.51
"1210",0.31,0.31
"1211",0.44,0.44
"1212",0.36,0.36
"1213",0.36,0.36
"1214",0.4,0.4
"1215",0.39,0.39
"1216",0.42,0.42
"1217",0.31,0.31
"1218",0.46,0.46
"1219",0.35,0.35
"1220",0.47,0.47
"1221",0.29,0.29
"1222",0.4,0.4
"1223",0.27,0.27
"1224",0.52,0.52
"1225",0.4,0.4
"1226",0.58,0.58
"1227",0.61,0.61
"1228",0.82,0.82
"1229",0.42,0.42
"1230",0.7,0.7
"1231",0.55,0.55
"1232",0.9,0.9
"1233",0.68,0.68
"1234",0.65,0.65
"1235",0.63,0.63
"1236",0.47,0.47
"1237",0.55,0.55
"1238",0.49,0.49
"1239",0.6,0.6
"1240",0.65,0.65
"1241",0.55,0.55
"1242",0.5,0.5
"1243",0.6,0.6
