"station"	"date"	"layer"	"no23f..Data.values"	"no23f..Data.value2"	"no23f.remark.codes"	"no23f.value.codes"	"no23f.reporting.level"	"no23f.reporting.method"	"no23f.reporting.units"	"no23f.analyte.method"	"no23f.analyte.name"	"no23f.unique.code"
"CB3.3C"	1987-03-11	"B"	 0.23650	 0.23650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	 1.02000	 1.02000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	 0.16450	 0.16450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	 0.78000	 0.78000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	 0.24500	 0.24500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	 1.01100	 1.01100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	 0.23200	 0.23200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	 0.92000	 0.92000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	 0.10800	 0.10800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	 0.54000	 0.54000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	 0.00785	 0.00785	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	 0.29000	 0.29000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	 0.06450	 0.06450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	 0.18400	 0.18400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	 0.00720	 0.00720	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	 0.13200	 0.13200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	 0.00665	 0.00665	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	 0.01810	 0.01810	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	 0.00395	 0.00395	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	 0.00170	 0.00170	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	 0.01180	 0.01180	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	 0.00330	 0.00330	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	 0.00330	 0.00330	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	 0.00180	 0.00180	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	 0.00235	 0.00235	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	 0.06800	 0.06800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	 0.03820	 0.03820	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	 0.23500	 0.23500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	 0.11950	 0.11950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	 0.20700	 0.20700	" "	""	NA	""	""	""	""	""
