"station"	"date"	"layer"	"no23f..Data.values"	"no23f..Data.value2"	"no23f.remark.codes"	"no23f.value.codes"	"no23f.reporting.level"	"no23f.reporting.method"	"no23f.reporting.units"	"no23f.analyte.method"	"no23f.analyte.name"	"no23f.unique.code"
"LE1.2"	2005-10-06	"S"	 0.00520	 0.00520	" "	""	NA	""	""	""	""	""
"LE1.2"	2005-10-24	"B"	 0.10700	 0.10700	" "	""	NA	""	""	""	""	""
"LE1.2"	2005-10-24	"S"	 0.06260	 0.06260	" "	""	NA	""	""	""	""	""
"LE1.2"	2005-11-21	"B"	 0.02710	 0.02710	" "	""	NA	""	""	""	""	""
"LE1.2"	2005-11-21	"S"	 0.00260	 0.00260	" "	""	NA	""	""	""	""	""
"LE1.2"	2005-12-19	"B"	 0.00570	 0.00570	" "	""	NA	""	""	""	""	""
"LE1.2"	2005-12-19	"S"	 0.00150	 0.00150	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-01-17	"B"	 0.02740	 0.02740	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-01-17	"S"	 0.00370	 0.00370	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-02-15	"B"	 0.00830	 0.00830	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-02-15	"S"	 0.00400	 0.00400	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-03-02	"B"	 0.02110	 0.02110	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-03-02	"S"	 0.00790	 0.00790	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-03-16	"B"	 0.08520	 0.08520	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-03-16	"S"	 0.01390	 0.01390	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-04-13	"B"	 0.01530	 0.01530	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-04-13	"S"	 0.00140	 0.00140	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-04-27	"B"	 0.05130	 0.05130	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-04-27	"S"	 0.00730	 0.00730	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-05-15	"B"	 0.08080	 0.08080	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-05-15	"S"	 0.01400	 0.01400	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-05-30	"B"	 0.09410	 0.09410	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-05-30	"S"	 0.00540	 0.00540	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-06-12	"B"	 0.02450	 0.02450	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-06-12	"S"	 0.02820	 0.02820	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-06-26	"B"	 0.01370	 0.01370	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-06-26	"S"	 0.00630	 0.00630	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-07-10	"B"	 0.02090	 0.02090	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-07-10	"S"	 0.01020	 0.01020	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-07-24	"B"	 0.24300	 0.24300	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-07-24	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-08-10	"B"	 0.04950	 0.04950	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-08-10	"S"	 0.01760	 0.01760	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-08-24	"B"	 0.03790	 0.03790	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-08-24	"S"	 0.00150	 0.00150	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-09-11	"B"	 0.16000	 0.16000	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-09-11	"S"	 0.01600	 0.01600	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-09-25	"B"	 0.12600	 0.12600	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-09-25	"S"	 0.02190	 0.02190	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-10-10	"B"	 0.07450	 0.07450	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-10-10	"S"	 0.06980	 0.06980	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-10-24	"B"	 0.05100	 0.05100	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-10-24	"S"	 0.02000	 0.02000	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-11-08	"B"	 0.03800	 0.03800	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-11-08	"S"	 0.03230	 0.03230	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-12-07	"B"	 0.08850	 0.08850	" "	""	NA	""	""	""	""	""
"LE1.2"	2006-12-07	"S"	 0.03210	 0.03210	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-01-22	"B"	 0.08700	 0.08700	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-01-22	"S"	 0.06300	 0.06300	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-02-20	"B"	 0.25200	 0.25200	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-02-20	"S"	 0.18600	 0.18600	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-03-08	"B"	 0.21000	 0.21000	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-03-08	"S"	 0.15900	 0.15900	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-03-21	"B"	 0.17100	 0.17100	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-03-21	"S"	 0.18200	 0.18200	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-04-02	"B"	 0.17000	 0.17000	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-04-02	"S"	 0.12900	 0.12900	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-04-18	"B"	 0.20700	 0.20700	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-04-18	"S"	 0.21300	 0.21300	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-05-01	"B"	 0.26200	 0.26200	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-05-01	"S"	 0.00790	 0.00790	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-05-17	"B"	 0.16400	 0.16400	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-05-17	"S"	 0.00620	 0.00620	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-06-14	"B"	 0.03720	 0.03720	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-06-14	"S"	 0.02150	 0.02150	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-06-28	"B"	 0.00450	 0.00450	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-06-28	"S"	 0.00130	 0.00130	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-07-16	"B"	 0.01430	 0.01430	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-07-16	"S"	 0.00300	 0.00300	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-07-30	"B"	 0.07030	 0.07030	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-07-30	"S"	 0.00410	 0.00410	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-08-13	"B"	 0.10800	 0.10800	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-08-13	"S"	 0.00820	 0.00820	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-08-28	"B"	 0.08100	 0.08100	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-08-28	"S"	 0.00180	 0.00180	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-09-13	"B"	 0.05000	 0.05000	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-09-13	"S"	 0.00210	 0.00210	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-09-27	"B"	 0.06360	 0.06360	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-09-27	"S"	 0.00150	 0.00150	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-10-11	"B"	 0.05170	 0.05170	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-10-11	"S"	 0.02690	 0.02690	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-10-29	"B"	 0.04400	 0.04400	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-10-29	"S"	 0.03570	 0.03570	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-11-13	"B"	 0.04480	 0.04480	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-11-13	"S"	 0.01880	 0.01880	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-12-04	"B"	 0.00210	 0.00210	" "	""	NA	""	""	""	""	""
"LE1.2"	2007-12-04	"S"	 0.00180	 0.00180	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-01-10	"B"	 0.02990	 0.02990	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-01-10	"S"	 0.00160	 0.00160	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-02-07	"B"	 0.06700	 0.06700	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-02-07	"S"	 0.00370	 0.00370	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-03-10	"B"	 0.03480	 0.03480	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-03-10	"S"	 0.00150	 0.00150	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-04-07	"B"	 0.07080	 0.07080	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-04-07	"S"	 0.15800	 0.15800	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-04-21	"B"	 0.25100	 0.25100	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-04-21	"S"	 0.02900	 0.02900	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-05-05	"B"	 0.11600	 0.11600	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-05-05	"S"	 0.00200	 0.00200	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-05-19	"B"	 0.12100	 0.12100	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-05-19	"S"	 0.07070	 0.07070	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-06-18	"B"	 0.01910	 0.01910	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-06-18	"S"	 0.00460	 0.00460	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-07-02	"B"	 0.00880	 0.00880	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-07-02	"S"	 0.01040	 0.01040	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-07-17	"B"	 0.00750	 0.00750	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-07-17	"S"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-08-04	"B"	 0.01800	 0.01800	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-08-04	"S"	 0.00120	 0.00120	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-08-18	"B"	 0.07740	 0.07740	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-08-18	"S"	 0.00730	 0.00730	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-09-15	"B"	 0.11100	 0.11100	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-09-15	"S"	 0.02660	 0.02660	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-10-16	"B"	 0.01570	 0.01570	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-10-16	"S"	 0.00520	 0.00520	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-11-13	"B"	 0.01590	 0.01590	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-11-13	"S"	 0.00260	 0.00260	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-12-15	"B"	 0.01260	 0.01260	" "	""	NA	""	""	""	""	""
"LE1.2"	2008-12-15	"S"	 0.00630	 0.00630	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-01-08	"B"	 0.00260	 0.00260	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-01-08	"S"	 0.00290	 0.00290	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-02-05	"B"	 0.01770	 0.01770	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-02-05	"S"	 0.00750	 0.00750	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-03-10	"B"	 0.02170	 0.02170	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-03-10	"S"	 0.00400	 0.00400	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-04-09	"B"	 0.02270	 0.02270	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-04-09	"S"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-04-22	"B"	 0.00240	 0.00240	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-04-22	"S"	 0.00980	 0.00980	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-05-07	"B"	 0.03100	 0.03100	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-05-07	"S"	 0.00180	 0.00180	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-05-21	"B"	 0.01530	 0.01530	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-05-21	"S"	 0.00380	 0.00380	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-06-22	"B"	 0.00490	 0.00490	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-06-22	"S"	 0.00900	 0.00900	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-07-06	"B"	 0.00910	 0.00910	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-07-06	"S"	 0.00240	 0.00240	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-07-20	"B"	 0.00510	 0.00510	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-07-20	"S"	 0.00720	 0.00720	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-08-03	"B"	 0.01370	 0.01370	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-08-03	"S"	 0.00100	 0.00100	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-08-18	"B"	 0.00950	 0.00950	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-08-18	"S"	 0.00410	 0.00410	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-09-10	"B"	 0.01710	 0.01710	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-09-10	"S"	 0.01610	 0.01610	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-10-07	"B"	 0.06870	 0.06870	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-10-07	"S"	 0.00190	 0.00190	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-11-05	"B"	 0.03660	 0.03660	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-11-05	"S"	 0.00890	 0.00890	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-12-03	"B"	 0.11800	 0.11800	" "	""	NA	""	""	""	""	""
"LE1.2"	2009-12-03	"S"	 0.00870	 0.00870	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-01-19	"B"	 0.25900	 0.25900	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-01-19	"S"	 0.22900	 0.22900	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-02-16	"B"	 0.34100	 0.34100	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-02-16	"S"	 0.21500	 0.21500	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-03-22	"B"	 0.17700	 0.17700	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-03-22	"S"	 0.19300	 0.19300	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-04-19	"B"	 0.24800	 0.24800	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-04-19	"S"	 0.19700	 0.19700	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-05-17	"B"	 0.15500	 0.15500	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-05-17	"S"	 0.02810	 0.02810	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-06-10	"B"	 0.00120	 0.00120	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-06-10	"S"	 0.01270	 0.01270	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-07-08	"B"	 0.00640	 0.00640	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-07-08	"S"	 0.00280	 0.00280	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-08-09	"B"	 0.05560	 0.05560	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-08-09	"S"	 0.00210	 0.00210	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-09-09	"B"	 0.08380	 0.08380	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-09-09	"S"	 0.00970	 0.00970	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-10-07	"B"	 0.09900	 0.09900	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-10-07	"S"	 0.08790	 0.08790	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-11-08	"B"	 0.01680	 0.01680	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-11-08	"S"	 0.00360	 0.00360	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-12-07	"B"	 0.01080	 0.01080	" "	""	NA	""	""	""	""	""
"LE1.2"	2010-12-07	"S"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-01-06	"B"	 0.04950	 0.04950	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-01-06	"S"	 0.00150	 0.00150	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-02-03	"B"	 0.04890	 0.04890	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-02-03	"S"	 0.01260	 0.01260	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-03-07	"B"	 0.00240	 0.00240	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-03-07	"S"	 0.00130	 0.00130	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-04-04	"B"	 0.19600	 0.19600	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-04-04	"S"	 0.01040	 0.01040	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-05-02	"B"	 0.08290	 0.08290	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-05-02	"S"	 0.00270	 0.00270	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-06-13	"B"	 0.02430	 0.02430	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-06-13	"S"	 0.01070	 0.01070	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-07-14	"B"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-07-14	"S"	 0.00340	 0.00340	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-08-16	"B"	 0.04370	 0.04370	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-08-16	"S"	 0.01150	 0.01150	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-09-13	"B"	 0.24400	 0.24400	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-09-13	"S"	 0.00940	 0.00940	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-10-13	"B"	 0.14100	 0.14100	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-10-13	"S"	 0.13200	 0.13200	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-11-10	"B"	 0.15400	 0.15400	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-11-10	"S"	 0.00400	 0.00400	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-12-05	"B"	 0.18200	 0.18200	" "	""	NA	""	""	""	""	""
"LE1.2"	2011-12-05	"S"	 0.05280	 0.05280	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-01-17	"B"	 0.24500	 0.24500	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-01-17	"S"	 0.20400	 0.20400	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-02-08	"B"	 0.20400	 0.20400	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-02-08	"S"	 0.13200	 0.13200	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-03-08	"B"	 0.25400	 0.25400	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-03-08	"S"	 0.20500	 0.20500	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-04-05	"B"	 0.16000	 0.16000	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-04-05	"S"	 0.01030	 0.01030	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-05-08	"B"	 0.09690	 0.09690	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-05-08	"S"	 0.08800	 0.08800	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-06-11	"B"	 0.03920	 0.03920	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-06-11	"S"	 0.01210	 0.01210	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-07-02	"B"	 0.01080	 0.01080	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-07-02	"S"	 0.00790	 0.00790	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-08-02	"B"	 0.04100	 0.04100	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-08-02	"S"	 0.00760	 0.00760	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-09-04	"B"	 0.08720	 0.08720	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-09-04	"S"	 0.00880	 0.00880	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-10-01	"B"	 0.07450	 0.07450	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-10-01	"S"	 0.00780	 0.00780	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-11-01	"B"	 0.01880	 0.01880	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-11-01	"S"	 0.02490	 0.02490	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-12-03	"B"	 0.01860	 0.01860	" "	""	NA	""	""	""	""	""
"LE1.2"	2012-12-03	"S"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-01-07	"B"	 0.00630	 0.00630	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-01-07	"S"	 0.00120	 0.00120	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-02-04	"B"	 0.02140	 0.02140	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-02-04	"S"	 0.00380	 0.00380	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-03-12	"B"	 0.12100	 0.12100	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-03-12	"S"	 0.00550	 0.00550	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-04-11	"B"	 0.01820	 0.01820	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-04-11	"S"	 0.00160	 0.00160	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-05-09	"B"	 0.00210	 0.00210	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-05-09	"S"	 0.00050	 0.00050	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-06-10	"B"	 0.01000	 0.01000	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-06-10	"S"	 0.00110	 0.00110	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-07-08	"B"	 0.01200	 0.01200	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-07-08	"S"	 0.00150	 0.00150	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-08-05	"B"	 0.11100	 0.11100	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-08-05	"S"	 0.03330	 0.03330	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-09-05	"B"	 0.08210	 0.08210	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-09-05	"S"	 0.01030	 0.01030	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-10-24	"B"	 0.02510	 0.02510	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-10-24	"S"	 0.04500	 0.04500	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-11-05	"B"	 0.03940	 0.03940	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-11-05	"S"	 0.00350	 0.00350	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-12-05	"B"	 0.00220	 0.00220	" "	""	NA	""	""	""	""	""
"LE1.2"	2013-12-05	"S"	 0.00110	 0.00110	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-02-06	"B"	 0.05800	 0.05800	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-02-06	"S"	 0.03390	 0.03390	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-03-12	"B"	 0.17100	 0.17100	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-03-12	"S"	 0.10200	 0.10200	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-04-01	"B"	 0.19800	 0.19800	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-04-01	"S"	 0.11600	 0.11600	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-05-08	"B"	 0.17500	 0.17500	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-05-08	"S"	 0.08290	 0.08290	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-06-12	"B"	 0.05010	 0.05010	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-06-12	"S"	 0.01340	 0.01340	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-07-30	"B"	 0.06990	 0.06990	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-07-30	"S"	 0.01060	 0.01060	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-08-11	"B"	 0.06390	 0.06390	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-08-11	"S"	 0.00710	 0.00710	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-09-22	"B"	 0.07750	 0.07750	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-09-22	"S"	 0.02040	 0.02040	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-10-14	"B"	 0.04880	 0.04880	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-10-14	"S"	 0.01140	 0.01140	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-11-10	"B"	 0.02350	 0.02350	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-11-10	"S"	 0.00130	 0.00130	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-12-04	"B"	 0.00380	 0.00380	" "	""	NA	""	""	""	""	""
"LE1.2"	2014-12-04	"S"	 0.00260	 0.00260	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-01-06	"B"	 0.00940	 0.00940	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-01-06	"S"	 0.00020	 0.00020	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-02-03	"B"	 0.05480	 0.05480	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-02-03	"S"	 0.00270	 0.00270	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-03-23	"B"	 0.03900	 0.03900	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-03-23	"S"	 0.02560	 0.02560	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-04-20	"B"	 0.03900	 0.03900	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-04-20	"S"	 0.00820	 0.00820	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-05-19	"B"	 0.10100	 0.10100	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-05-19	"S"	 0.00450	 0.00450	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-06-16	"B"	 0.03540	 0.03540	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-06-16	"S"	 0.00080	 0.00080	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-07-15	"B"	 0.01310	 0.01310	" "	""	NA	""	""	""	""	""
"LE1.2"	2015-07-15	"S"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
