"station"	"date"	"layer"	"tp..Data.values"	"tp..Data.value2"	"tp.remark.codes"	"tp.value.codes"	"tp.reporting.level"	"tp.reporting.method"	"tp.reporting.units"	"tp.analyte.method"	"tp.analyte.name"	"tp.unique.code"
"CB3.3C"	1987-06-16	"S"	0.05500	0.05500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	0.09500	0.09500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	0.06700	0.06700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	0.10150	0.10150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	0.06100	0.06100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	0.12450	0.12450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	0.10300	0.10300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	0.12150	0.12150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	0.07300	0.07300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	0.07650	0.07650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	0.06700	0.06700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	0.09200	0.09200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	0.06000	0.06000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	0.05385	0.05385	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	0.04080	0.04080	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	0.02290	0.02290	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	0.02360	0.02360	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	0.03570	0.03570	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	0.01930	0.01930	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	0.02120	0.02120	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	0.01060	0.01060	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	0.03365	0.03365	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	0.01410	0.01410	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	0.06240	0.06240	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	0.02370	0.02370	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	0.08815	0.08815	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	0.03490	0.03490	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	0.03645	0.03645	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	0.01370	0.01370	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	0.04265	0.04365	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	0.01380	0.01380	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	0.03455	0.03455	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	0.03240	0.03240	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	0.03305	0.03405	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	0.03180	0.03280	"i"	""	NA	""	""	""	""	""
