"station"	"date"	"layer"	"pn..Data.values"	"pn..Data.value2"	"pn.remark.codes"	"pn.value.codes"	"pn.reporting.level"	"pn.reporting.method"	"pn.reporting.units"	"pn.analyte.method"	"pn.analyte.name"	"pn.unique.code"
"CB3.3C"	1987-06-02	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	 0.10850	 0.10850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	 0.14100	 0.14100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	 0.10040	 0.10040	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	 0.30900	 0.30900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	 0.13000	 0.13000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	 0.14900	 0.14900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	 0.06690	 0.06690	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	 0.07560	 0.07560	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	 0.48750	 0.48750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	 0.23000	 0.23000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	 0.79200	 0.79200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	 0.25100	 0.25100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	 0.25400	 0.25400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	 0.13300	 0.13300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	 0.29750	 0.29750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	 0.09730	 0.09730	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	 0.27700	 0.27700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	 0.25400	 0.25400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	 0.31550	 0.31550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	 0.37800	 0.37800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	 0.09790	 0.09790	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	 0.16800	 0.16800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	 0.13600	 0.13600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	 0.63500	 0.63500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	 0.08695	 0.08695	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	 0.35000	 0.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	 0.08370	 0.08370	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	 0.36700	 0.36700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	 0.10950	 0.10950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	 0.68500	 0.68500	" "	""	NA	""	""	""	""	""
