"station"	"date"	"layer"	"po4f..Data.values"	"po4f..Data.value2"	"po4f.remark.codes"	"po4f.value.codes"	"po4f.reporting.level"	"po4f.reporting.method"	"po4f.reporting.units"	"po4f.analyte.method"	"po4f.analyte.name"	"po4f.unique.code"
"CB3.3C"	1988-03-17	"S"	 0.005100	 0.005100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	 0.005450	 0.005450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	 0.001700	 0.001700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	 0.005500	 0.005500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	 0.004600	 0.004600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	 0.004200	 0.004200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	 0.009000	 0.009000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	 0.003250	 0.003250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	 0.002600	 0.002600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	 0.003650	 0.003650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	 0.002500	 0.002500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	 0.033550	 0.033550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	 0.010800	 0.010800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	 0.029200	 0.029200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	 0.003100	 0.003100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	 0.020400	 0.020400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	 0.004200	 0.004200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	 0.053700	 0.053700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	 0.017500	 0.017500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	 0.062200	 0.062200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	 0.012200	 0.012200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	 0.062800	 0.062800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	 0.017000	 0.017000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	 0.050050	 0.050050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	 0.022800	 0.022800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	 0.029050	 0.029050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	 0.004600	 0.004600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	 0.028600	 0.028600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	 0.007500	 0.007500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	 0.005250	 0.005250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	 0.005800	 0.005800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	 0.011450	 0.011450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	 0.007700	 0.007700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	 0.003050	 0.003050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	 0.005800	 0.005800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	 0.002300	 0.002300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	 0.006900	 0.006900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	 0.007100	 0.007100	" "	""	NA	""	""	""	""	""
