"station"	"date"	"layer"	"pp..Data.values"	"pp..Data.value2"	"pp.remark.codes"	"pp.value.codes"	"pp.reporting.level"	"pp.reporting.method"	"pp.reporting.units"	"pp.analyte.method"	"pp.analyte.name"	"pp.unique.code"
"CB3.3C"	1988-03-17	"B"	 0.08365	 0.08365	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	 0.02390	 0.02390	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	 0.03395	 0.03395	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	 0.01170	 0.01170	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	 0.04265	 0.04265	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	 0.01180	 0.01180	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	 0.02605	 0.02605	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	 0.02140	 0.02140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	 0.03305	 0.03305	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	 0.03180	 0.03180	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	 0.01225	 0.01225	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	 0.02440	 0.02440	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	 0.01480	 0.01480	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	 0.04240	 0.04240	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	 0.01250	 0.01250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	 0.03220	 0.03220	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	 0.01560	 0.01560	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	 0.02710	 0.02710	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	 0.01665	 0.01665	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	 0.05070	 0.05070	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	 0.01555	 0.01555	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	 0.06670	 0.06670	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	 0.00855	 0.00855	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	 0.03050	 0.03050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	 0.01890	 0.01890	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	 0.02100	 0.02100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	 0.01100	 0.01100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	 0.01800	 0.01800	" "	""	NA	""	""	""	""	""
