"station"	"date"	"layer"	"tdn..Data.values"	"tdn..Data.value2"	"tdn.remark.codes"	"tdn.value.codes"	"tdn.reporting.level"	"tdn.reporting.method"	"tdn.reporting.units"	"tdn.analyte.method"	"tdn.analyte.name"	"tdn.unique.code"
"CB3.3C"	1988-05-24	"S"	1.04000	1.04000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	0.58500	0.58500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	0.55000	0.55000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	0.60500	0.60500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	0.39000	0.39000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	0.66000	0.66000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	0.66000	0.66000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	0.43000	0.43000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	0.62000	0.62000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	0.41000	0.41000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	0.57000	0.57000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	0.63000	0.63000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	0.58000	0.58000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	0.66000	0.66000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	0.51500	0.51500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	0.49000	0.49000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	0.54000	0.54000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	0.61000	0.61000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	0.55500	0.55500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	0.53000	0.53000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	0.56000	0.56000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	0.67000	0.67000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	0.53500	0.53500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	0.73000	0.73000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	0.45000	0.45000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	0.75000	0.75000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	0.73000	0.73000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	0.59500	0.59500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	0.74000	0.74000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	0.60000	0.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	1.20000	1.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	0.78500	0.78500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	1.21000	1.21000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	0.58500	0.58500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	0.88000	0.88000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	0.72500	0.72500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	1.46000	1.46000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	0.89500	0.89500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	0.87000	0.87000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	0.84500	0.84500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	1.18000	1.18000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	0.76500	0.76500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	0.98000	0.98000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	0.76500	0.76500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	0.82000	0.82000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	0.67000	0.67000	" "	""	NA	""	""	""	""	""
