"station"	"date"	"layer"	"nh4f..Data.values"	"nh4f..Data.value2"	"nh4f.remark.codes"	"nh4f.value.codes"	"nh4f.reporting.level"	"nh4f.reporting.method"	"nh4f.reporting.units"	"nh4f.analyte.method"	"nh4f.analyte.name"	"nh4f.unique.code"
"CB3.3C"	1987-10-06	"B"	 0.21400	 0.21400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	 0.13400	 0.13400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	 0.13050	 0.13050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	 0.01100	 0.01100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	 0.13600	 0.13600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	 0.06200	 0.06200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	 0.12100	 0.12100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	 0.06300	 0.06300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	 0.05050	 0.05050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	 0.08600	 0.08600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	 0.09700	 0.09700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	 0.08300	 0.08300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	 0.07800	 0.07800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	 0.06500	 0.06500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	 0.23900	 0.23900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	 0.08900	 0.08900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	 0.09450	 0.09450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	 0.16300	 0.16300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	 0.12750	 0.12750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	 0.02600	 0.02600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	 0.15200	 0.15200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	 0.01000	 0.01000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	 0.17600	 0.17600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	 0.04500	 0.04500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	 0.26300	 0.26300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	 0.00000	 0.00500	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	 0.39700	 0.39700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	 0.03800	 0.03800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	 0.37000	 0.37000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	 0.01900	 0.01900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	 0.38000	 0.38000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	 0.01500	 0.01500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	 0.31800	 0.31800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	 0.01700	 0.01700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	 0.36700	 0.36700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	 0.15300	 0.15300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	 0.25100	 0.25100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	 0.02600	 0.02600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	 0.07900	 0.07900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	 0.02200	 0.02200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	 0.07050	 0.07050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	 0.03600	 0.03600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	 0.08100	 0.08100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	 0.06600	 0.06600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	 0.14100	 0.14100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	 0.08400	 0.08400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	 0.11750	 0.11750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	 0.07100	 0.07100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	 0.05100	 0.05100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	 0.03100	 0.03100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	 0.05250	 0.05250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	 0.06000	 0.06000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	 0.07000	 0.07000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	 0.03500	 0.03500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	 0.08950	 0.08950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	 0.06500	 0.06500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	 0.11150	 0.11150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	 0.06100	 0.06100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	 0.08700	 0.08700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	 0.01900	 0.01900	" "	""	NA	""	""	""	""	""
