"station"	"date"	"layer"	"tss..Data.values"	"tss..Data.value2"	"tss.remark.codes"	"tss.value.codes"	"tss.reporting.level"	"tss.reporting.method"	"tss.reporting.units"	"tss.analyte.method"	"tss.analyte.name"	"tss.unique.code"
"CB3.3C"	1987-04-07	"S"	  10.20000	  10.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	   8.40000	   8.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	   9.00000	   9.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	  10.80000	  10.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	   5.70000	   5.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	  11.10000	  11.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	   5.80000	   5.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	   5.85000	   5.85000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	   4.00000	   4.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	   4.95000	   4.95000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	   4.60000	   4.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	   7.00000	   7.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	   7.30000	   7.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	   9.05000	   9.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	   4.40000	   4.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	  14.00000	  14.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	   8.10000	   8.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	   4.10000	   4.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	   6.30000	   6.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	   5.25000	   5.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	   6.40000	   6.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	   3.60000	   3.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	   4.80000	   4.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	   8.25000	   8.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	   3.90000	   3.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	   8.75000	   8.75000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	   5.60000	   5.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	  33.15000	  33.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	   4.00000	   4.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	   8.35000	   8.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	   2.40000	   2.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	  24.20000	  24.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	   2.80000	   2.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	  37.85000	  37.85000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	   6.70000	   6.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	  95.50000	  95.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	   6.80000	   6.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	  20.25000	  20.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	  11.10000	  11.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	  36.20000	  36.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	   3.70000	   3.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	  14.40000	  14.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	   5.90000	   5.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	  11.95000	  11.95000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	   9.00000	   9.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	   4.25000	   4.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	   6.40000	   6.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	   8.50000	   8.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	  16.70000	  16.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	   5.65000	   5.65000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	   7.20000	   7.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	   5.35000	   5.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	   6.60000	   6.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	   4.60000	   4.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	  14.40000	  14.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	  10.35000	  10.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	  16.80000	  16.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	   6.35000	   6.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	   9.60000	   9.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	   9.50000	   9.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	   7.60000	   7.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	   6.60000	   6.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	   5.40000	   5.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	   8.85000	   8.85000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	   4.80000	   4.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	   7.20000	   7.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	   8.20000	   8.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	  29.70000	  29.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	   3.80000	   3.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	  39.75000	  39.75000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	   7.70000	   7.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	   9.30000	   9.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	   3.70000	   3.70000	" "	""	NA	""	""	""	""	""
