"station"	"date"	"layer"	"do..Data.values"	"do..Data.value2"	"do.remark.codes"	"do.value.codes"	"do.reporting.level"	"do.reporting.method"	"do.reporting.units"	"do.analyte.method"	"do.analyte.name"	"do.unique.code"
"CB3.3C"	1988-08-09	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	15.100000	15.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	 0.000000	 0.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	 6.500000	 6.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	 6.800000	 6.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	 0.200000	 0.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	 7.800000	 7.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	 6.700000	 6.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	 5.800000	 5.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	 7.400000	 7.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	 7.200000	 7.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	 9.600000	 9.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	 7.400000	 7.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	12.000000	12.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	 8.900000	 8.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	12.600000	12.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	 8.700000	 8.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	11.400000	11.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	 9.400000	 9.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	10.800000	10.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	 8.100000	 8.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	10.300000	10.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	 6.700000	 6.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	11.100000	11.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	 6.200000	 6.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	 9.300000	 9.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	 4.000000	 4.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	10.400000	10.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	 1.000000	 1.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	 8.900000	 8.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	 0.300000	 0.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	 9.000000	 9.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	 9.800000	 9.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	 0.400000	 0.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	 8.900000	 8.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	 0.200000	 0.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	11.000000	11.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	 0.600000	 0.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	11.200000	11.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	 0.300000	 0.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	 8.300000	 8.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	 1.400000	 1.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	 6.500000	 6.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	 4.700000	 4.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	 8.100000	 8.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	 6.400000	 6.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	 8.300000	 8.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	 3.800000	 3.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	 8.600000	 8.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	 9.700000	 9.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	12.100000	12.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	10.600000	10.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	13.900000	13.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	 8.400000	 8.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	11.900000	11.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	 6.600000	 6.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	11.400000	11.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	 6.000000	 6.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	10.300000	10.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	 3.300000	 3.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	10.800000	10.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	 3.100000	 3.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	11.200000	11.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	 1.000000	 1.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	 9.300000	 9.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	 7.800000	 7.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	 0.700000	 0.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	 8.100000	 8.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	 0.400000	 0.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	 8.600000	 8.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	11.300000	11.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	 0.010000	 0.010000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	12.600000	12.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	 0.000000	 0.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	12.600000	12.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	12.900000	12.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	 0.300000	 0.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	11.000000	11.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	 0.200000	 0.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	11.100000	11.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	 4.800000	 4.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	 8.300000	 8.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	 6.600000	 6.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	 9.800000	 9.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	 5.300000	 5.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	10.200000	10.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	 5.700000	 5.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	11.300000	11.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	 8.500000	 8.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	 9.600000	 9.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	 7.900000	 7.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	12.300000	12.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	 6.400000	 6.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	10.700000	10.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	 6.000000	 6.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	10.400000	10.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	 3.600000	 3.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	14.100000	14.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	 1.300000	 1.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	10.000000	10.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	 1.600000	 1.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	11.800000	11.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	 0.200000	 0.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	 8.800000	 8.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	 0.600000	 0.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	 7.000000	 7.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	 0.000000	 0.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	 5.400000	 5.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	 8.500000	 8.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	 0.000000	 0.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	10.400000	10.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	 9.800000	 9.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	 0.000000	 0.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	10.200000	10.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	 2.000000	 2.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	 7.300000	 7.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	 0.300000	 0.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"S"	 9.000000	 9.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"B"	 4.300000	 4.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"S"	 7.900000	 7.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"B"	 4.900000	 4.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"S"	 8.400000	 8.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"B"	 5.800000	 5.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"S"	 9.000000	 9.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"B"	 5.000000	 5.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"S"	 9.600000	 9.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"B"	10.000000	10.000000	" "	""	NA	""	""	""	""	""
