"station"	"date"	"layer"	"tn..Data.values"	"tn..Data.value2"	"tn.remark.codes"	"tn.value.codes"	"tn.reporting.level"	"tn.reporting.method"	"tn.reporting.units"	"tn.analyte.method"	"tn.analyte.name"	"tn.unique.code"
"CB3.3C"	1988-09-07	"S"	0.868000	0.868000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	0.593400	0.593400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	0.689000	0.689000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	0.623200	0.623200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	0.722000	0.722000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	0.675500	0.675500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	0.697000	0.697000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	0.727500	0.727500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	0.757400	0.757400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	1.075500	1.075500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	1.333000	1.333000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	0.855500	0.855500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	1.624000	1.624000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	0.947100	0.947100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	1.159000	1.159000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	0.893550	0.893550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	1.351000	1.351000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	0.856500	0.856500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	1.251000	1.251000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	0.766450	0.766450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	1.071000	1.071000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	0.792200	0.792200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	1.003000	1.003000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	0.709000	0.709000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	0.793000	0.793000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
