"station"	"date"	"layer"	"secchi..Data.values"	"secchi..Data.value2"	"secchi.remark.codes"	"secchi.value.codes"	"secchi.reporting.level"	"secchi.reporting.method"	"secchi.reporting.units"	"secchi.analyte.method"	"secchi.analyte.name"	"secchi.unique.code"
"CB3.3C"	1987-03-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
